"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"382",2014,"Kain Colter","Kain","Colter","WR","5","10.0000",70,198,0,0,0,0,0,0,0,0,0,0,0,"Northwestern","0","0",0,0,5.3
"384",2014,"Brandin Cooks","Brandin","Cooks","WR","5","10.0000",70,189,0,0,4.33,0,0,3.81,6.76,36,120,16,1,"Oregon St.","0","20",20,0,5.8
"385",2014,"Damian Copeland","Damian","Copeland","WR","5","11.0000",71,184,0,0,4.5,0,0,3.9,6.53,40,120,12,0,"Louisville","0","0",0,0,4.8
"391",2014,"Mike Davis","Mike","Davis","WR","6","0.0000",72,197,0,0,0,0,0,0,0,0,0,10,0,"Texas","0","0",0,0,5.2
"406",2014,"Bruce Ellington","Bruce","Ellington","WR","5","9.0000",69,197,0,0,4.45,0,0,3.95,6.69,39.5,120,15,4,"South Carolina","0","10",106,0,5.4
"409",2014,"Quincy Enunwa","Quincy","Enunwa","WR","6","2.0000",74,225,0,0,4.45,0,0,0,0,0,0,19,7,"Nebraska","0","17",209,0,4.8
"410",2014,"Mike Evans","Mike","Evans","WR","6","5.0000",77,231,0,0,4.53,0,0,4.26,7.08,37,0,12,1,"Texas A&M","0","7",7,0,6.2
"411",2014,"Shaq Evans","Shaq","Evans","WR","6","1.0000",73,213,0,0,4.51,0,0,4.21,7.07,34.5,122,13,4,"UCLA","0","19",115,0,5.3
"423",2014,"Bennie Fowler","Bennie","Fowler","WR","6","1.0000",73,217,0,0,4.52,0,0,4.18,7.06,36,126,0,0,"Michigan St.","0","0",0,0,5
"424",2014,"Austin Franklin","Austin","Franklin","WR","5","11.0000",71,189,0,0,4.56,0,0,4.33,7.07,36,124,7,0,"New Mexico St.","0","0",0,0,5.1
"431",2014,"Jeremy Gallon","Jeremy","Gallon","WR","5","7.0000",67,185,0,0,4.49,0,0,0,0,0,0,15,8,"Michigan","0","20",244,0,5
"438",2014,"Ryan Grant","Ryan","Grant","WR","6","0.0000",72,199,0,0,4.64,0,0,4.11,6.68,35.5,119,8,5,"Tulane","0","14",142,0,5.1
"448",2014,"Matt Hazel","Matt","Hazel","WR","6","1.0000",73,198,0,0,4.5,0,0,4.2,7.08,36.5,118,15,6,"Coastal Carolina","0","30",190,0,5.2
"451",2014,"Robert Herron","Robert","Herron","WR","5","9.0000",69,193,0,0,4.48,0,0,4.27,6.84,35.5,125,18,6,"Wyoming","0","25",185,0,5.2
"456",2014,"Cody Hoffman","Cody","Hoffman","WR","6","4.0000",76,223,0,0,4.65,0,0,4.2,6.89,27.5,108,13,0,"BYU","0","0",0,0,5.1
"459",2014,"Josh Huff","Josh","Huff","WR","5","11.0000",71,206,0,0,4.51,0,0,0,0,35.5,116,14,3,"Oregon","0","22",86,0,5.3
"461",2014,"Allen Hurns","Allen","Hurns","WR","6","1.0000",73,198,0,0,4.55,0,0,4.5,7.23,31,120,14,0,"Miami","0","0",0,0,5.1
"472",2014,"Jeff Janis","Jeff","Janis","WR","6","3.0000",75,219,0,0,4.42,0,0,3.98,6.64,37.5,123,20,8,"Saginaw Valley St.","0","12",236,0,5.3
"484",2014,"T.J.  Jones","T.J. ","Jones","WR","6","0.0000",72,188,0,0,4.48,0,0,4.27,6.82,33,119,0,6,"Notre Dame","0","29",189,0,5.4
"493",2014,"Jarvis Landry","Jarvis","Landry","WR","5","11.0000",71,205,0,0,4.77,0,0,0,0,28.5,110,12,2,"LSU","0","31",63,0,5.6
"495",2014,"Cody Latimer","Cody","Latimer","WR","6","2.0000",74,215,0,0,0,0,0,0,0,0,0,23,2,"Indiana","0","24",56,0,5.2
"498",2014,"Marqise Lee","Marqise","Lee","WR","6","0.0000",72,192,0,0,4.52,0,0,4.01,0,38,127,0,2,"USC","0","7",39,0,6.2
"510",2014,"Marcus Lucas","Marcus","Lucas","WR","6","4.0000",76,218,0,0,4.6,0,0,4.25,7.07,36,124,20,0,"Missouri","0","0",0,0,5.1
"526",2014,"Jordan Matthews","Jordan","Matthews","WR","6","3.0000",75,212,0,0,4.46,0,0,4.18,6.95,35.5,120,21,2,"Vanderbilt","0","10",42,0,5.6
"538",2014,"Donte Moncrief","Donte","Moncrief","WR","6","2.0000",74,221,0,0,4.4,0,0,4.3,7.02,39.5,132,13,3,"Mississippi","0","26",90,0,5.8
"552",2014,"Kevin Norwood","Kevin","Norwood","WR","6","2.0000",74,198,0,0,4.48,0,0,4.32,6.68,33,121,8,4,"Alabama","0","27",123,0,5.2
"563",2014,"Walt Powell","Walt","Powell","WR","5","11.0000",71,189,0,0,4.63,0,0,4.23,6.7,31.5,120,10,7,"Murray St.","0","4",196,0,4.7
